Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Credit_History_Missing,Self_Employed_Missing,LoanAmount_Missing,Total_Income,Log_Total_Income,Log_ApplicantIncome,Log_CoapplicantIncome,Log_LoanAmount,Income_to_Loan_Ratio,EMI,Balance_Income,Has_Many_Dependents
Male,No,0,Graduate,No,5849.0,0.0,,360.0,1.0,Urban,1,0,0,1,5849.0,8.674196940225903,8.674196940225903,0.0,,,,,0
Male,Yes,1,Graduate,No,4583.0,1508.0,128.0,360.0,1.0,Rural,0,0,0,0,6091.0,8.714731714015052,8.430327258394575,7.319202458767849,4.859812404361672,47.5859375,1066.6666666666667,5024.333333333333,0
Male,Yes,0,Graduate,Yes,3000.0,0.0,66.0,360.0,1.0,Urban,1,0,0,0,3000.0,8.006700845440367,8.006700845440367,0.0,4.204692619390966,45.45454545454545,550.0,2450.0,0
Male,Yes,0,Not Graduate,No,2583.0,2358.0,120.0,360.0,1.0,Urban,1,0,0,0,4941.0,8.505525386548555,7.857093864902493,7.765993079407675,4.795790545596741,41.175,1000.0,3941.0,0
Male,No,0,Graduate,No,6000.0,0.0,141.0,360.0,1.0,Urban,1,0,0,0,6000.0,8.699681400989514,8.699681400989514,0.0,4.955827057601261,42.5531914893617,1175.0,4825.0,0
Male,Yes,2,Graduate,Yes,5417.0,4196.0,267.0,360.0,1.0,Urban,1,0,0,0,9613.0,9.170975648453906,8.59748202264504,8.34212526333359,5.5909869805108565,36.00374531835206,2225.0,7388.0,0
Male,Yes,0,Not Graduate,No,2333.0,1516.0,95.0,360.0,1.0,Urban,1,0,0,0,3849.0,8.25582842728183,7.755338812846501,7.324489979348532,4.564348191467836,40.51578947368421,791.6666666666666,3057.3333333333335,0
Male,Yes,3,Graduate,No,3036.0,2504.0,158.0,360.0,0.0,Semiurban,0,0,0,0,5540.0,8.61993026886735,8.01862546504575,7.826044013518965,5.0689042022202315,35.063291139240505,1316.6666666666667,4223.333333333333,1
Male,Yes,2,Graduate,No,4006.0,1526.0,168.0,360.0,1.0,Urban,1,0,0,0,5532.0,8.618485442898109,8.295798110636145,7.3310603052186325,5.1298987149230735,32.92857142857143,1400.0,4132.0,0
Male,Yes,1,Graduate,No,10171.25,5743.125,270.0,360.0,1.0,Semiurban,0,0,0,0,23809.0,10.077860939480908,9.460476328353995,9.302828391411333,5.857933154483459,68.22063037249283,2908.3333333333335,20900.666666666668,0
